YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W52,PL,3479525,,,0,,0,0,0,PL41,ALL,AZ,37958138
2020-W52,PL,1218743,,,15,,0,0,0,PL72,ALL,COM,37958138
2020-W52,PL,1399038,,,0,,0,0,0,PL62,ALL,JANSS,37958138
2020-W52,PL,2084447,,,0,,0,0,0,PL82,ALL,AZ,37958138
2020-W52,PL,2084447,,,34,,0,0,0,PL82,ALL,COM,37958138
2020-W52,PL,2316135,,,0,,0,0,0,PL63,ALL,JANSS,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,ALL,MOD,37958138
2020-W52,PL,4475460,,,185,,0,0,0,PL22,ALL,COM,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,ALL,JANSS,37958138
2020-W52,PL,1218743,,,0,,0,0,0,PL72,ALL,JANSS,37958138
2020-W52,PL,2050976,,,0,,0,0,0,PL61,ALL,JANSS,37958138
2020-W52,PL,2050976,,,0,,0,0,0,PL61,ALL,AZ,37958138
2020-W52,PL,2316135,,,0,,0,0,0,PL63,ALL,AZ,37958138
2020-W52,PL,3479525,,,0,,0,0,0,PL41,ALL,JANSS,37958138
2020-W52,PL,3479525,,,0,,0,0,0,PL41,ALL,MOD,37958138
2020-W52,PL,2864809,,,0,,0,0,0,PL51,ALL,JANSS,37958138
2020-W52,PL,1149389,,,0,,0,0,0,PL84,ALL,JANSS,37958138
2020-W52,PL,2864809,,,0,,0,0,0,PL51,ALL,MOD,37958138
2020-W52,PL,2088292,,,0,,0,0,0,PL81,ALL,MOD,37958138
2020-W52,PL,2864809,,,206,,0,0,0,PL51,ALL,COM,37958138
2020-W52,PL,3371956,,,0,,0,0,0,PL21,ALL,AZ,37958138
2020-W52,PL,4475460,,,0,,0,0,0,PL22,ALL,AZ,37958138
2020-W52,PL,1149389,,,0,,0,0,0,PL84,ALL,MOD,37958138
2020-W52,PL,1399038,,,0,,0,0,0,PL62,ALL,MOD,37958138
2020-W52,PL,942233,,,30,,0,0,0,PL52,ALL,COM,37958138
2020-W52,PL,2050976,,,0,,0,0,0,PL61,ALL,MOD,37958138
2020-W52,PL,1001411,,,0,,0,0,0,PL43,ALL,MOD,37958138
2020-W52,PL,4475460,,,0,,0,0,0,PL22,ALL,MOD,37958138
2020-W52,PL,1671605,,,0,,0,0,0,PL42,ALL,MOD,37958138
2020-W52,PL,1001411,,,0,,0,0,0,PL43,ALL,JANSS,37958138
2020-W52,PL,3371956,,,189,,0,0,0,PL21,ALL,COM,37958138
2020-W52,PL,1671605,,,0,,0,0,0,PL42,ALL,AZ,37958138
2020-W52,PL,4475460,,,0,,0,0,0,PL22,ALL,JANSS,37958138
2020-W52,PL,,,,0,,0,0,0,PL92X,ALL,AZ,37958138
2020-W52,PL,37958138,9750,,2215,,0,0,0,PL,ALL,COM,37958138
2020-W52,PL,1399038,,,152,,0,0,0,PL62,ALL,COM,37958138
2020-W52,PL,3479525,,,55,,0,0,0,PL41,ALL,COM,37958138
2020-W52,PL,942233,,,0,,0,0,0,PL52,ALL,MOD,37958138
2020-W52,PL,3371956,,,0,,0,0,0,PL21,ALL,JANSS,37958138
2020-W52,PL,1399038,,,0,,0,0,0,PL62,ALL,AZ,37958138
2020-W52,PL,2442685,,,0,,0,0,0,PL71,ALL,MOD,37958138
2020-W52,PL,2050976,,,150,,0,0,0,PL61,ALL,COM,37958138
2020-W52,PL,2084447,,,0,,0,0,0,PL82,ALL,JANSS,37958138
2020-W52,PL,,,,332,,0,0,0,PL92X,ALL,COM,37958138
2020-W52,PL,1001411,,,124,,0,0,0,PL43,ALL,COM,37958138
2020-W52,PL,2316135,,,0,,0,0,0,PL63,ALL,MOD,37958138
2020-W52,PL,2316135,,,95,,0,0,0,PL63,ALL,COM,37958138
2020-W52,PL,1671605,,,20,,0,0,0,PL42,ALL,COM,37958138
2020-W52,PL,37958138,0,,0,,0,0,0,PL,ALL,MOD,37958138
2020-W52,PL,2442685,,,0,,0,0,0,PL71,ALL,AZ,37958138
2020-W52,PL,2864809,,,0,,0,0,0,PL51,ALL,AZ,37958138
2020-W52,PL,3371956,,,0,,0,0,0,PL21,ALL,MOD,37958138
2020-W52,PL,1149389,,,0,,0,0,0,PL84,ALL,AZ,37958138
2020-W52,PL,2442685,,,258,,0,0,0,PL71,ALL,COM,37958138
2020-W52,PL,2088292,,,309,,0,0,0,PL81,ALL,COM,37958138
2020-W52,PL,37958138,0,,0,,0,0,0,PL,ALL,JANSS,37958138
2020-W52,PL,1001411,,,0,,0,0,0,PL43,ALL,AZ,37958138
2020-W52,PL,942233,,,0,,0,0,0,PL52,ALL,JANSS,37958138
2020-W52,PL,37958138,0,,0,,0,0,0,PL,ALL,AZ,37958138
2020-W52,PL,1218743,,,0,,0,0,0,PL72,ALL,MOD,37958138
2020-W52,PL,1671605,,,0,,0,0,0,PL42,ALL,JANSS,37958138
2020-W52,PL,1218743,,,0,,0,0,0,PL72,ALL,AZ,37958138
2020-W52,PL,2084447,,,0,,0,0,0,PL82,ALL,MOD,37958138
2020-W52,PL,2088292,,,0,,0,0,0,PL81,ALL,AZ,37958138
2020-W52,PL,2088292,,,0,,0,0,0,PL81,ALL,JANSS,37958138
2020-W52,PL,2442685,,,0,,0,0,0,PL71,ALL,JANSS,37958138
2020-W52,PL,1149389,,,61,,0,0,0,PL84,ALL,COM,37958138
2020-W52,PL,942233,,,0,,0,0,0,PL52,ALL,AZ,37958138
2020-W52,PL,112466,,,0,,0,0,0,PL71,Age0_4,MOD,37958138
2020-W52,PL,104514,,,0,,0,0,0,PL82,Age0_4,AZ,37958138
2020-W52,PL,77089,,,0,,0,0,0,PL42,Age0_4,COM,37958138
2020-W52,PL,67332,,,0,,0,0,0,PL62,Age0_4,MOD,37958138
2020-W52,PL,52712,,,0,,0,0,0,PL72,Age0_4,JANSS,37958138
